Date,Cash,Credit,Total,Date,Checker,Actual_total
09/27/11,1532,728.06,2260.06,Tuesday,TRUE,2260.06
09/28/11,2153,933.98,3086.98,Wednesday,TRUE,3086.98
09/29/11,2091,782,2873,Thursday,TRUE,2873
09/30/11,2469.29,1204.03,3673.32,Friday,TRUE,3673.32
10/01/11,4445,1202.58,5647.58,Saturday,TRUE,5647.58
10/02/11,4344,2299.95,6643.95,Sunday,TRUE,6643.95
10/03/11,2355,770.55,3125.55,Monday,TRUE,3125.55
10/04/11,1734,810.27,2544.27,Tuesday,TRUE,2544.27
10/05/11,2270,720.05,2990.05,Wednesday,TRUE,2990.05
10/06/11,2379,811.96,3190.96,Thursday,TRUE,3190.96
10/07/11,2557.54,1607.66,4165.2,Friday,TRUE,4165.2
10/08/11,4187,2622.85,6809.85,Saturday,TRUE,6809.85
10/09/11,5324,3078.47,8402.47,Sunday,TRUE,8402.47
10/10/11,1703,787.66,2490.66,Monday,TRUE,2490.66
10/11/11,1469,614.32,2083.32,Tuesday,TRUE,2083.32
10/12/11,2203,973.75,3176.75,Wednesday,TRUE,3176.75
10/13/11,1796,1122.98,2918.98,Thursday,TRUE,2918.98
10/14/11,2899.67,1387.8,4287.47,Friday,TRUE,4287.47
10/15/11,3462,1750.34,5212.34,Saturday,TRUE,5212.34
10/16/11,5569,2585.82,8154.82,Sunday,TRUE,8154.82
10/17/11,1988,865.26,2853.26,Monday,TRUE,2853.26
10/18/11,2092,864.44,2956.44,Tuesday,TRUE,2956.44
10/19/11,1583.4,841.5,2424.9,Wednesday,TRUE,2424.9
10/20/11,1885.45,626.45,2511.9,Thursday,TRUE,2511.9
10/21/11,2822,1229.55,4051.55,Friday,TRUE,4051.55
10/22/11,3585,2349.26,5934.26,Saturday,TRUE,5934.26
10/23/11,4422,2406.3,6828.3,Sunday,TRUE,6828.3
10/24/11,2133,779.83,2912.83,Monday,TRUE,2912.83
10/25/11,2209,743.68,2952.68,Tuesday,TRUE,2952.68
10/26/11,1836,949.8,2785.8,Wednesday,TRUE,2785.8
10/27/11,1680,1131.18,2811.18,Thursday,TRUE,2811.18
10/28/11,1874,1165.11,3039.11,Friday,TRUE,3039.11
10/29/11,2565,2661.44,5226.44,Saturday,TRUE,5226.44
10/30/11,4785,2313.87,7098.87,Sunday,TRUE,7098.87
10/31/11,1636,688.74,2324.74,Monday,TRUE,2324.74
11/01/11,1691,619.34,2310.34,Tuesday,TRUE,2310.34
11/02/11,2184.2,1001.36,3185.56,Wednesday,TRUE,3185.56
11/03/11,2007,710.2,2717.2,Thursday,TRUE,2717.2
11/04/11,2271.61,1404.45,3676.06,Friday,TRUE,3676.06
11/05/11,3200,1667.95,4867.95,Saturday,TRUE,4867.95
11/06/11,4152,2571.01,6723.01,Sunday,TRUE,6723.01
11/07/11,1508,657.72,2165.72,Monday,TRUE,2165.72
11/08/11,1357,602.75,1959.75,Tuesday,TRUE,1959.75
11/09/11,1860,775.89,2635.89,Wednesday,TRUE,2635.89
11/10/11,2040,678.85,2718.85,Thursday,TRUE,2718.85
11/11/11,2375,1468.5,3843.5,Friday,TRUE,3843.5
11/12/11,2625,1181.56,3806.56,Saturday,TRUE,3806.56
11/13/11,5661,2393.05,8054.05,Sunday,TRUE,8054.05
11/14/11,1712,656.91,2368.91,Monday,TRUE,2368.91
11/15/11,1821,693.2,2514.2,Tuesday,TRUE,2514.2
11/16/11,2159,630.74,2789.74,Wednesday,TRUE,2789.74
11/17/11,1782,1002.73,2784.73,Thursday,TRUE,2784.73
11/18/11,2172.77,1133.01,3305.78,Friday,TRUE,3305.78
11/19/11,3182,1595.61,4777.61,Saturday,TRUE,4777.61
11/20/11,5613,3044,8657,Sunday,TRUE,8657
11/21/11,2491.78,1004.25,3496.03,Monday,TRUE,3496.03
11/22/11,1959,1060.45,3019.45,Tuesday,TRUE,3019.45
11/23/11,2595,1067.18,3662.18,Wednesday,TRUE,3662.18
11/24/11,1600,300.16,1900.16,Thursday,TRUE,1900.16
11/25/11,2392,949.03,3341.03,Friday,TRUE,3341.03
11/26/11,2785.23,1521.11,4306.34,Saturday,TRUE,4306.34
11/27/11,3981.36,2215.66,6197.02,Sunday,TRUE,6197.02
11/28/11,1957,639.67,2596.67,Monday,TRUE,2596.67
11/29/11,1485,640.85,2125.85,Tuesday,TRUE,2125.85
11/30/11,1965,848.37,2813.37,Wednesday,TRUE,2813.37
12/01/11,2431,1133.07,3564.07,Thursday,TRUE,3564.07
12/02/11,2589.22,1280.41,3869.63,Friday,TRUE,3869.63
12/03/11,3759,1641.94,5400.94,Saturday,TRUE,5400.94
12/04/11,5525,3291.69,8816.69,Sunday,TRUE,8816.69
12/05/11,1824,874.39,2698.39,Monday,TRUE,2698.39
12/06/11,1540,699.99,2239.99,Tuesday,TRUE,2239.99
12/07/11,2237,869.86,3106.86,Wednesday,TRUE,3106.86
12/08/11,1970,1090.47,3060.47,Thursday,TRUE,3060.47
12/09/11,2818.58,1182.15,4000.73,Friday,TRUE,4000.73
12/10/11,4214,1682.77,5896.77,Saturday,TRUE,5896.77
12/11/11,6291,1955.83,8246.83,Sunday,TRUE,8246.83
12/12/11,2300,1494.43,3794.43,Monday,TRUE,3794.43
12/13/11,1840,572.03,2412.03,Tuesday,TRUE,2412.03
